Kód obce,Název obce,Voliči v seznamu,Vydané obálky,Platné hlasy,Občanská demokratická strana,Řád národa - Vlastenecká unie,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Česká str.sociálně demokrat.,Radostné Česko,STAROSTOVÉ A NEZÁVISLÍ,Komunistická str.Čech a Moravy,Strana zelených,"ROZUMNÍ-stop migraci,diktát.EU",Strana svobodných občanů,Blok proti islam.-Obran.domova,Občanská demokratická aliance,Česká pirátská strana,Referendum o Evropské unii,TOP 09,ANO 2011,Dobrá volba 2016,SPR-Republ.str.Čsl. M.Sládka,Křesť.demokr.unie-Čs.str.lid.,Česká strana národně sociální,REALISTÉ,SPORTOVCI,Dělnic.str.sociální spravedl.,Svob.a př.dem.-T.Okamura (SPD),Strana Práv Občanů
535761,Jivno,267,180,180,27,0,0,4,0,17,11,0,1,4,0,0,21,1,12,49,0,0,4,0,1,0,0,28,0
535982,Kamenná,246,150,150,4,0,1,9,2,2,33,2,0,0,1,0,12,0,1,59,4,0,0,1,2,2,2,12,1
544663,Kamenný Újezd,1 837,1 273,1 261,256,0,3,67,3,69,83,16,7,10,1,3,130,1,75,308,0,0,107,0,20,5,0,94,3
535877,Komařice,264,164,163,23,1,0,2,0,9,22,2,1,0,0,0,20,1,6,45,0,0,12,0,1,0,1,16,1
529729,Kvítkovice,91,58,58,8,0,0,2,0,2,3,0,0,0,0,0,6,0,4,25,0,0,1,0,0,0,0,7,0
544736,Ledenice,1 947,1 251,1 243,153,4,1,77,3,79,122,15,12,30,3,0,125,2,54,307,0,2,97,0,11,4,6,135,1
544744,Libín,308,222,221,30,0,0,10,0,21,32,4,6,0,0,1,15,0,16,38,0,0,21,0,1,2,1,21,2
535800,Libníč,410,269,268,43,1,0,27,0,22,12,4,2,14,0,0,16,0,20,58,0,0,12,0,2,2,0,33,0
544761,Lipí,508,341,340,57,0,0,22,0,24,27,9,8,3,0,1,35,0,15,102,0,0,11,0,2,3,1,20,0
544779,Lišov,3 437,2 198,2 185,237,3,4,99,3,332,176,22,1,34,2,4,166,2,78,589,0,3,138,1,31,11,3,246,0
544795,Litvínovice,1 906,1 404,1 399,315,0,2,68,2,68,68,19,6,22,2,2,157,4,92,352,0,1,63,0,42,5,0,107,2
544809,Ločenice,562,346,345,59,0,2,30,0,15,32,6,3,1,0,4,32,0,16,94,0,0,13,0,1,2,0,32,3
535940,Mazelov,169,106,106,3,0,0,7,0,4,19,0,4,0,0,0,3,2,2,32,0,1,7,1,4,1,0,16,0
544817,Mladošovice,328,217,216,15,0,0,16,0,10,26,0,5,8,0,0,22,0,6,68,0,2,11,2,2,0,0,22,1
598615,Modrá Hůrka,70,40,39,2,0,0,0,0,1,4,0,0,2,0,0,5,0,1,10,0,0,11,0,0,0,0,3,0
535842,Mokrý Lom,83,68,67,9,0,0,3,0,4,7,2,0,1,0,2,8,0,5,19,0,1,1,0,0,0,0,5,0
535281,Mydlovary,249,157,156,12,0,0,8,0,10,10,9,4,0,1,0,15,0,6,54,0,0,11,0,1,0,1,13,1
535371,Nákří,174,112,112,11,0,0,14,1,2,14,1,4,2,0,1,12,0,1,22,0,0,10,0,1,0,3,13,0
544825,Nedabyle,290,219,219,26,0,0,7,0,14,21,5,2,5,0,0,32,0,8,59,0,1,23,0,1,0,0,15,0
535435,Neplachov,292,194,194,27,0,1,20,1,11,12,1,1,3,0,0,9,0,9,64,0,2,11,0,2,1,0,19,0
535648,Nová Ves,566,436,435,54,1,0,41,4,31,32,7,2,6,0,2,23,0,18,125,2,1,16,0,4,2,0,62,2
544868,Nové Hrady,2 045,1 224,1 214,117,4,0,113,0,32,179,7,14,16,2,3,103,0,30,346,0,3,47,0,10,3,3,177,5
544884,Olešnice,639,396,392,52,1,0,28,0,20,54,0,3,7,0,0,35,0,16,111,0,1,20,0,6,0,0,36,2
544892,Olešník,642,395,395,60,0,0,34,2,23,33,6,4,7,0,2,38,0,11,101,1,0,19,0,4,0,2,47,1
535231,Ostrolovský Újezd,134,104,103,18,0,0,7,0,7,9,1,0,1,0,0,9,0,5,33,0,2,6,0,0,0,0,5,0
535699,Petříkov,254,175,175,30,2,1,8,0,8,18,2,0,4,0,0,24,0,11,40,0,0,6,0,1,0,1,19,0
535991,Pištín,525,359,354,27,0,0,17,0,42,26,7,4,19,0,0,38,0,10,82,0,1,17,0,10,2,1,48,3
535176,Planá,194,134,133,21,0,0,9,0,9,15,3,2,3,0,1,13,0,4,33,0,0,2,0,4,2,0,12,0
535346,Plav,330,265,263,33,0,0,12,1,11,18,7,2,7,2,0,42,0,19,63,0,0,9,1,1,0,0,34,1
544965,Radošovice,145,88,88,8,0,0,8,0,8,6,2,1,0,0,0,9,0,2,28,0,0,9,0,0,0,1,6,0
544973,Roudné,922,671,667,123,0,0,46,1,42,25,6,2,21,1,3,60,1,51,183,1,0,26,1,5,7,4,54,4
544981,Rudolfov,2 049,1 399,1 395,228,2,0,78,0,73,86,18,9,35,2,2,128,0,84,404,4,1,72,3,14,1,5,141,5
545007,Římov,694,471,469,102,1,1,31,0,23,44,10,5,8,0,3,57,1,18,95,0,0,30,0,4,0,0,32,4
545015,Sedlec,399,281,278,26,1,1,24,0,26,21,4,2,5,0,0,34,0,8,89,0,0,21,0,1,0,1,14,0
545023,Slavče,537,303,301,24,0,0,11,1,11,55,4,8,4,0,0,24,0,10,101,0,0,18,0,3,0,0,27,0
545066,Srubec,1 877,1 346,1 345,234,2,0,69,2,112,56,15,4,24,0,1,148,0,101,379,2,0,71,1,19,3,2,98,2
545074,Staré Hodějovice,955,670,667,107,1,0,31,0,53,47,6,1,17,0,2,65,0,63,155,3,3,19,0,11,0,4,79,0
545082,Strážkovice,395,271,270,45,1,0,13,0,9,24,3,3,6,0,0,30,1,8,86,1,4,6,0,4,2,1,23,0
536032,Strýčice,52,38,38,2,0,0,2,1,3,2,0,2,0,0,0,2,0,0,19,0,0,2,0,2,0,0,1,0
545091,Střížov,180,117,116,24,0,0,6,0,9,4,4,0,4,0,0,10,0,6,30,0,0,3,0,1,0,0,15,0
545104,Svatý Jan nad Malší,439,288,286,41,0,0,11,2,7,24,3,3,4,0,2,29,0,7,105,0,0,12,1,4,2,0,26,3
545121,Ševětín,1 099,718,714,80,2,1,41,0,43,66,14,7,4,0,5,66,0,34,236,2,0,43,1,5,0,1,62,1
545139,Štěpánovice,685,436,435,43,1,0,21,0,45,32,4,0,3,1,1,36,1,4,134,0,1,31,1,2,0,0,73,1
545155,Temelín,703,424,422,34,0,0,41,2,22,51,6,3,7,0,2,40,0,11,116,2,2,15,0,3,1,2,61,1
545171,Trhové Sviny,4 082,2 501,2 474,224,5,0,140,5,79,279,27,19,46,4,2,253,1,76,816,0,2,139,1,34,4,7,309,2
545201,Týn nad Vltavou,6 491,3 892,3 861,419,4,0,266,6,101,356,54,36,131,1,6,541,1,160,1 049,2,6,199,1,49,4,18,436,15
535494,Úsilné,374,258,256,49,0,0,12,0,23,11,1,2,7,0,2,23,0,11,70,0,3,11,0,2,0,0,29,0
545228,Včelná,1 593,1 082,1 077,195,1,1,45,0,55,64,23,8,24,0,1,101,1,76,286,0,0,53,0,18,7,2,114,2
535737,Vidov,442,333,329,42,0,0,11,0,26,15,3,1,13,0,1,42,1,21,97,0,0,12,0,7,0,0,35,2
535893,Vitín,339,229,225,21,0,0,26,0,9,15,4,1,7,0,0,15,0,10,68,0,0,13,1,14,0,0,20,1
535915,Vlkov,33,24,24,1,0,2,0,0,2,1,2,1,0,0,0,5,0,0,5,0,0,2,0,0,0,0,3,0
545261,Vrábče,593,390,383,59,1,0,16,0,19,21,10,1,6,0,0,44,0,34,95,0,0,35,0,3,1,2,36,0
535796,Vráto,312,219,218,44,0,1,9,2,13,15,3,2,8,0,5,22,1,6,63,0,2,6,0,2,0,0,14,0
545287,Všemyslice,879,583,582,93,0,2,30,0,25,46,3,3,5,2,2,76,1,17,181,0,2,24,0,6,0,4,59,1
545317,Záboří,289,161,160,17,0,0,21,0,15,16,1,1,3,0,0,11,0,6,36,0,3,6,0,0,0,1,21,2
536016,Zahájí,371,253,252,22,2,0,18,0,20,30,3,1,3,0,1,12,0,11,94,0,0,12,0,2,0,2,19,0
599778,Závraty,33,25,25,4,0,0,1,0,3,0,0,0,2,0,0,0,0,0,4,0,0,5,0,0,0,0,6,0
545341,Zliv,2 941,1 846,1 831,188,4,0,115,3,107,169,19,6,27,3,5,157,1,83,618,1,0,63,1,28,2,2,224,5
535591,Zvíkov,215,168,168,19,0,0,11,0,12,20,1,5,3,0,0,15,0,6,31,1,0,11,0,3,0,0,30,0
545368,Žabovřesky,336,208,206,20,0,1,13,0,16,16,0,1,0,0,1,33,0,2,70,0,0,9,0,1,1,0,22,0
545376,Žár,284,139,139,9,1,0,4,0,2,27,1,3,1,1,0,17,0,4,50,0,0,3,0,4,0,0,11,1
545384,Žimutice,518,326,323,35,3,0,38,1,9,25,2,2,1,0,0,27,0,7,103,0,1,22,0,9,2,3,30,3
